location,way_points,waypoints_location,waypoints_instruction
98,5,"[-94.794971, 29.307017]",Your destination is on the right.
99,0,"[-94.794971, 29.307017]",Drive west on The Strand.
99,1,"[-94.795031, 29.307001]",Your destination is on the right.
100,0,"[-94.795031, 29.307001]",Drive west on The Strand.
100,1,"[-94.795677, 29.306832]",Your destination is on the right.
101,0,"[-94.795677, 29.306832]",Drive west on The Strand.
101,1,"[-94.795861, 29.306785]",Your destination is on the right.
102,0,"[-94.795861, 29.306785]",Drive west on The Strand.
102,1,"[-94.795955, 29.30676]",Your destination is on the left.
103,0,"[-94.795955, 29.30676]",Drive west on The Strand.
103,1,"[-94.796103, 29.306722]",Turn right.
103,2,"[-94.796139, 29.306829]",You have arrived at your destination.
104,0,"[-94.796139, 29.306829]",Drive south.
104,1,"[-94.796103, 29.306722]",Turn left onto The Strand.
104,2,"[-94.795532, 29.30687]",Turn left onto Mitchell Avenue - 24th Street.
104,3,"[-94.795569, 29.306982]",Your destination is on the right.
105,0,"[-94.795569, 29.306982]",Drive north on Mitchell Avenue - 24th Street.
105,1,"[-94.795831, 29.307756]",Turn right onto Harborside Drive/TX 275.
105,2,"[-94.794678, 29.308045]",Turn right onto Tremont Avenue - 23rd Street.
105,3,"[-94.794231, 29.306718]",Turn right.
105,4,"[-94.795831, 29.306301]",Your destination is on the right.
106,0,"[-94.795831, 29.306301]",Drive west.
106,1,"[-94.796525, 29.306116]",Turn right onto Rosenberg Avenue - 25th Street.
106,2,"[-94.79668, 29.306572]",Turn right onto The Strand.
106,3,"[-94.795532, 29.30687]",Turn right onto Mitchell Avenue - 24th Street.
106,4,"[-94.795379, 29.30642]",Turn left.
106,5,"[-94.795127, 29.306485]",Your destination is on the left.
107,0,"[-94.795127, 29.306485]",Drive east.
107,1,"[-94.794546, 29.306636]",Your destination is on the right.
108,0,"[-94.794546, 29.306636]",Drive east.
